name,sovereign,year_min,year_max
13 Colonies,Britain,1763,1774
Alaska,Russia,1784,1866
Alberta,Canada,1905,2001
Arctic Islands,Britain,1859,1876
British Colonies,Britain,1667,1713
British Columbia,Britain,1858,1870
British Columbia,Canada,1871,2001
Canada East,Britain,1840,1866
Canada West,Britain,1840,1866
Cape Breton,Britain,1784,1818
Claimed by Britain and France,Disputed,1667,1667
Claimed by Britain and Russia,Disputed,1800,1821
Claimed by Britain and USA,Disputed,1800,1809
Claimed by France and Britain,Disputed,1713,1713
Claimed by US and Britain,Disputed,1798,1840
Disputed area,Canada,1881,1886
District of Alberta,Canada,1882,1901
District of Assiniboia,Canada,1882,1901
District of Athabaska,Canada,1882,1901
District of Franklin,Canada,1895,1927
District of Keewatin,Canada,1876,1927
District of Mackenzie,Canada,1895,1927
District of Saskatchewan,Canada,1882,1901
District of Ungava,Canada,1895,1905
District of Yukon,Canada,1895,1897
Greenland,Denmark,1667,2001
Iceland,Denmark,1667,2001
Indian Territory,Indigenous,1763,1774
Louisiana,France,1667,1713
Louisiana,Spain,1763,1800
Lower Canada,Britain,1791,1825
Manitoba,Canada,1870,2001
Mexico,Mexico,1825,1842
New Brunswick,Britain,1784,1866
New Brunswick,Canada,1867,2001
New Caledonia,Britain,1846,1849
New France,France,1667,1713
Newfoundland,Britain,1713,1881
Newfoundland,Canada,1882,1999
Newfoundland and Labrador,Canada,2001,2001
North-West Territories,Canada,1870,1905
NorthWest Territories,Canada,1876,1889
Northern Islands,Britain,1825,1858
Northwest Territories,Canada,1912,2001
Northwestern Territory,Canada,1821,1821
Northwestern Territory,Hudsons Bay Company,1825,1867
Nova Scotia,Britain,1713,1866
Nova Scotia,Canada,1867,2001
Nunavut,Canada,1999,2001
Ontario,Canada,1867,2001
Oregon Territory,Disputed,1818,1842
PEI,Britain,1800,1871
PEI,Canada,1873,2001
Quebec,Canada,1870,2001
Québec,Britain,1763,1790
Québec,Canada,1867,1874
Rupert's Land,Hudsons Bay Company,1667,1867
Russia,Russia,1667,2001
Saint John Island,Britain,1790,1798
Saint John's Island,Britain,1769,1784
Saskatchewan,Canada,1905,2001
Spanish Territory,Spain,1809,1821
Stickeen Territory,Britain,1862,1862
USA,USA,1783,2001
Upper Canada,Britain,1791,1825
Vancouver`s Island,Britain,1849,1863
Yukon Territory,Canada,1898,2001
